codi;modul;ra;descripcio
1709;Itinerari personal per l'ocupabilitat;RA1. Distingeix les característiques del sector productiu i defineix els llocs de treball per tal de relacionar-los amb les competències professionals expressades al títol.;
1709;Itinerari personal per l'ocupabilitat;RA2. Adquireix les competències necessàries per a l'acompliment de les funcions de nivell bàsic en Prevenció de Riscos Laborals.;
1709;Itinerari personal per l'ocupabilitat;RA3. Analitza les seves condicions laborals com a persona treballadora per compte d'altri i les identifica en els principals tipus de canvis i vicissituds rellevants que es poden presentar en la relació laboral, en la normativa laboral i, especialment, en el conveni col·lectiu del sector.;
1709;Itinerari personal per l'ocupabilitat;"RA4.Analitza i avalua el potencial professional i els interessos per guiar-se en el procés d’orientació personal i elabora un full de ruta per a la
inserció professional en base a l'anàlisi de les competències, interessos i destreses personals.";
1709;Itinerari personal per l'ocupabilitat;RA5. Aplica les estratègies per a l'aprenentatge autònom, reconèixer-ne el valor professionalitzador, dissenyar i optimitzar el seu propi entorn d'aprenentatge i usar adequadament les tecnologies digitals com a eines d'aprenentatge autònom, per tal de ser coherent amb la seva identitat digital i els seus objectius professionals plantejats en el seu pla de desenvolupament individual.;
1664;"Digitalització aplicada als sectors productius
";RA1. Estableix les diferències entre l'economia lineal (EL) i l'economia circular (EC), identifica els avantatges de l’economia circular (EC) en relació amb el medi ambient i el desenvolupament sostenible.;
1664;"Digitalització aplicada als sectors productius
";RA2. Caracteritza els principals aspectes de la 4a Revolució Industrial i indica els canvis i els avantatges que es produeixen tant des del punt de vista dels clients com de les empreses.;
1664;"Digitalització aplicada als sectors productius
";RA3. Identifica l'estructura dels sistemes basats en cloud/núvol i en descriu la tipologia i el camp d'aplicació.;
1664;"Digitalització aplicada als sectors productius
";RA4. Compara els sistemes de producció/prestació de serveis digitalitzats amb els sistemes clàssics i identifica les millores introduïdes.;
1664;"Digitalització aplicada als sectors productius
";RA5. Elabora un pla de transformació d'una empresa clàssica del sector en què s'emmarca el títol, basada en una EL, al concepte 4.0, determina els canvis que cal introduir a les principals fases del sistema i indica com afectaria els recursos humans.;
221;Muntatge i manteniment d'equips;RA01. Selecciona els components d’integració d’un equip microinformàtic estàndard, descrivint-ne les funcions i comparant-ne les prestacions de diferents fabricants.;
221;Muntatge i manteniment d'equips;RA02. Acobla un equip microinformàtic, interpretant-ne els plans i instruccions del fabricant, i aplicant-hi tècniques de muntatge.;
221;Muntatge i manteniment d'equips;RA03. Mesura paràmetres elèctrics, identificant el tipus de senyal i relacionant-la amb les seves unitats característiques.;
221;Muntatge i manteniment d'equips;RA04. Manté equips informàtics interpretant les recomanacions dels fabricants i relacionant les disfuncions amb les seves causes.;
221;Muntatge i manteniment d'equips;RA05. Instal·la programari en un equip informàtic utilitzant una imatge emmagatzemada en un suport de memòria i justificant el procediment a seguir.;
221;Muntatge i manteniment d'equips;RA06. Reconeix noves tendències en l’acoblament d’equips microinformàtics descrivint-ne els avantatges i adaptant-les a les característiques d’ús dels equips.;
221;Muntatge i manteniment d'equips;RA07. Manté perifèrics, interpretant-ne les recomanacions dels fabricants d'equips i relacionant-ne disfuncions amb les seves causes.;
221;Muntatge i manteniment d'equips;RA08. Compleix les normes de prevenció de riscos laborals i de protecció ambiental, identificant-ne els riscos associats, les mesures i equips per a prevenir-los.;
222;Sistemes operatius monolloc;RA01. Reconeix les característiques dels sistemes operatius, descrivint-ne els tipus i aplicacions.;
222;Sistemes operatius monolloc;RA02. Instal·la sistemes operatius, relacionant-ne les característiques amb el maquinari de l'equip i el programari d'aplicació.;
222;Sistemes operatius monolloc;RA03. Realitza tasques bàsiques de configuració de sistemes operatius, interpretant-ne requeriments i descrivint-ne els procediments seguits.;
222;Sistemes operatius monolloc;RA04. Realitza operacions bàsiques d'administració de sistemes operatius, interpretant requeriments i optimitzant el sistema per al seu ús.;
222;Sistemes operatius monolloc;RA05. Crea màquines virtuals identificant-ne el camp d'aplicació i instal·lant-hi programari específic.;
223;Aplicacions ofimàtiques;RA01. Instal·la i actualitza aplicacions ofimàtiques, interpretant especificacions i descrivint els passos a seguir en el procés.;
223;Aplicacions ofimàtiques;RA02. Elabora documents i plantilles, descrivint i aplicant les opcions avançades de processadors de textos.;
223;Aplicacions ofimàtiques;RA03. Elabora documents i plantilles de càlcul, descrivint i aplicant opcions avançades de fulls de càlcul.;
223;Aplicacions ofimàtiques;RA04. Elabora documents amb bases de dades ofimàtiques descrivint i aplicant operacions de manipulació de dades.;
223;Aplicacions ofimàtiques;RA05. Manipula imatges digitals analitzant les possibilitats de diferents programes i aplicant tècniques de captura i edició bàsiques.;
223;Aplicacions ofimàtiques;RA06. Manipula seqüències de vídeo analitzant les possibilitats de diferents programes i aplicant tècniques de captura i edició bàsiques.;
223;Aplicacions ofimàtiques;RA07. Elabora presentacions multimèdia descrivint i aplicant normes bàsiques de composició i disseny.;
223;Aplicacions ofimàtiques;RA08. Realitza operacions de gestió del correu i l'agenda electrònica, relacionant-ne les necessitats d'ús amb la seva configuració.;
223;Aplicacions ofimàtiques;RA09. Aplica tècniques de suport en l'ús d'aplicacions, identificant i resolent incidències.;
225;Xarxes locals;RA1 Reconeix l'estructura de xarxes locals cablejades analitzant-ne les característiques d'entorns d'aplicació i descrivint-ne la funcionalitat dels seus components.;
225;Xarxes locals;RA2 Desplega el cablejat d'una xarxa local interpretant-ne especificacions i aplicant-hi tècniques de muntatge.;
225;Xarxes locals;RA3 Interconnecta equips en xarxes locals cablejades descrivint estàndards de cablejat i aplicant tècniques de muntatge de connectors.;
225;Xarxes locals;RA4 Instal·la equips en xarxa, descrivint les seves prestacions i aplicant tècniques de muntatge.;
225;Xarxes locals;RA5 Manté una xarxa local interpretant recomanacions dels fabricants de maquinari o programari i establint la relació entre disfuncions i les seves causes.;
225;Xarxes locals;RA6 Compleix les normes de prevenció de riscos laborals i de protecció ambiental, identificant els riscos associats, les mesures i equips per a prevenir-los.;
156;Anglès professional;RA01. Comprèn informació, d’índole professional i quotidiana, continguda en discursos orals senzills, emesos en llengua estàndard, desxifrant el contingut global del missatge, i relacionant-lo amb els recursos lingüístics corresponents.;
156;Anglès professional;RA02. Comprèn informació professional continguda en textos escrits senzills, analitzant de manera comprensiva el seu contingut.;
156;Anglès professional;RA03. Emet missatges orals senzills, clars i estructurats, participant com a agent actiu en converses professionals.;
156;Anglès professional;RA04. Redacta textos senzills en llengua estàndard, relacionant les regles gramaticals amb la seva finalitat.;
156;Anglès professional;RA05. Aplica actituds i comportaments professionals en situacions de comunicació, descrivint les relacions típiques característiques del país de la llengua estrangera.;
MP0224_2;Sistemes Operatius en Xarxa;RA02. Gestiona usuaris i grups de sistemes operatius en xarxa, interpretant especificacions i aplicant eines del sistema.;Crea i gestiona usuaris i grups en un sistema operatiu en xarxa, aplicant les eines del sistema i assignant permisos segons les especificacions indicades.
MP0224_2;Sistemes Operatius en Xarxa;RA04. Gestiona els recursos compartits del sistema, interpretant especificacions i determinant nivells de seguretat.;Configura recursos compartits del sistema (carpetes o impressores), establint els nivells de seguretat i permisos d’accés segons els requeriments donats.
MP0224_2;Sistemes Operatius en Xarxa;RA05. Realitza tasques de monitoratge i ús del sistema operatiu en xarxa, descrivint les eines utilitzades i identificant les principals incidències.;Realitza tasques de monitoratge del sistema operatiu en xarxa utilitzant les eines disponibles, identificant incidències bàsiques de rendiment o ús del sistema.
MP0224_2;Sistemes Operatius en Xarxa;RA06. Realitza tasques d'integració de sistemes operatius lliures i propietaris, descrivint els avantatges de compartir recursos i instal·lant programari específic.;Integra un sistema operatiu lliure i un de propietari en una mateixa xarxa, compartint recursos i instal·lant el programari necessari segons les especificacions establertes.
MP0226_2;Seguretat Informàtica;RA01. Aplica mesures de seguretat passiva en sistemes informàtics descrivint característiques d'entorns i relacionant-les amb les seves necessitats.;Identifica i aplica mesures de seguretat passiva en un sistema informàtic (còpies de seguretat, control d’accés físic i protecció elèctrica), relacionant-les amb les necessitats de l’entorn proposat.
MP0226_2;Seguretat Informàtica;RA02. Gestiona dispositius d'emmagatzematge descrivint els procediments efectuats i aplicant tècniques per assegurar la integritat de la informació.;Gestiona dispositius d’emmagatzematge realitzant operacions de partició, format i còpia de seguretat, descrivint el procediment seguit i garantint la integritat de la informació.
MP0226_2;Seguretat Informàtica;RA03. Aplica mecanismes de seguretat activa descrivint-ne les característiques i relacionant-les amb les necessitats d'ús del sistema informàtic.;Configura mecanismes de seguretat activa en un sistema informàtic (antivirus, tallafocs o actualitzacions), descrivint-ne les característiques segons les necessitats d’ús indicades.
MP0226_2;Seguretat Informàtica;RA04. Assegura la privadesa de la informació transmesa en xarxes informàtiques descrivint vulnerabilitats i instal·lant programari específic.;Assegura la privadesa de la informació transmesa en una xarxa informàtica identificant vulnerabilitats i instal·lant programari específic de protecció.
MP0226_2;Seguretat Informàtica;RA05. Reconeix la legislació i normativa sobre seguretat i protecció de dades analitzant-ne les repercussions de l’incompliment.;Analitza un cas pràctic relacionat amb la seguretat i la protecció de dades, identificant la normativa aplicable i les conseqüències de l’incompliment.
MP0227_2;Serveis en Xarxa;RA01. Instal·la serveis de configuració dinàmica, descrivint-ne les característiques i aplicacions.;Instal·la i configura un servei de configuració dinàmica de xarxa, descrivint les seves característiques principals i les aplicacions en l’entorn proposat.
MP0227_2;Serveis en Xarxa;RA02. Instal·la serveis de resolució de noms, descrivint-ne les característiques i aplicacions.;Instal·la i configura un servei de resolució de noms, descrivint les seves característiques bàsiques i les aplicacions dins d’una xarxa local.
MP0227_2;Serveis en Xarxa;RA03. Instal·la serveis de transferència de fitxers, descrivint-ne les característiques i aplicacions.;Instal·la i configura un servei de transferència de fitxers, descrivint les seves característiques i verificant el seu funcionament segons els requeriments establerts.
MP0228_2;Aplicacions Web;RA04. Instal·la aplicacions d'ofimàtica web, descrivint-ne les característiques i entorns d'ús.;Instal·la i configura una aplicació d’ofimàtica web, descrivint-ne les característiques principals i els entorns d’ús adequats.
MP0228_2;Aplicacions Web;RA05. Instal·la aplicacions web d'escriptori, descrivint-ne les característiques i entorns d'ús.;Instal·la una aplicació web d’escriptori, descrivint-ne les característiques i identificant els entorns d’ús més adequats.